Text,Sentiment,Text_Clean,Text_Stemmed,Text_Lemmatized
Confidence soars after overcoming public speaking anxiety.       , Confidence    ,confidence soars overcoming public speaking anxiety,confid soar overcom public speak anxieti,confidence soar overcome public speaking anxiety
Contentment in the midst of a family gathering filled with laughter. , Contentment   ,contentment midst family gathering filled laughter,content midst famili gather fill laughter,contentment midst family gathering fill laughter
Enthusiasm for learning new skills and expanding knowledge.      , Enthusiasm    ,enthusiasm learning new skills expanding knowledge,enthusiasm learn new skill expand knowledg,enthusiasm learn new skill expand knowledge
Surprise and delight at discovering a hidden gem in the city.    , Surprise      ,surprise delight discovering hidden gem city,surpris delight discov hidden gem citi,surprise delight discover hidden gem city
A sense of accomplishment after completing a challenging workout., Accomplishment ,sense accomplishment completing challenging workout,sens accomplish complet challeng workout,sense accomplishment complete challenge workout
Wonderment at the beauty of a double rainbow after the rain.     , Wonderment    ,wonderment beauty double rainbow rain,wonder beauti doubl rainbow rain,wonderment beauty double rainbow rain
Optimism for a bright future amidst challenging times.           , Optimism      ,optimism bright future amidst challenging times,optim bright futur amidst challeng time,optimism bright future amidst challenge time
Pride in achieving a personal milestone in career progression.   , Pride         ,pride achieving personal milestone career progression,pride achiev person mileston career progress,pride achieve personal milestone career progression
Happiness blooms like flowers in a garden on a sunny day.        , Happiness     ,happiness blooms like flowers garden sunny day,happi bloom like flower garden sunni day,happiness bloom like flower garden sunny day
Elation over discovering a rare book in a quaint bookstore.      , Elation       ,elation discovering rare book quaint bookstore,elat discov rare book quaint bookstor,elation discover rare book quaint bookstore
Curiosity piqued by the mysteries of an ancient archaeological site., Curiosity   ,curiosity piqued mysteries ancient archaeological site,curios piqu mysteri ancient archaeolog site,curiosity pique mystery ancient archaeological site
Mesmerized by the cosmic dance of fireflies on a moonlit night.    , Enchantment   ,mesmerized cosmic dance fireflies moonlit night,mesmer cosmic danc firefli moonlit night,mesmerize cosmic dance firefly moonlit night
Intrigued by the symphony of colors in an abstract art exhibition. , Intrigue      ,intrigued symphony colors abstract art exhibition,intrigu symphoni color abstract art exhibit,intrigue symphony color abstract art exhibition
Giggles and joy echo in the air during a children's playdate.      , PlayfulJoy    ,giggles joy echo air children playdate,giggl joy echo air children playdat,giggle joy echo air child playdate
Enveloped in serenity while practicing mindfulness by the lake.    , Mindfulness   ,enveloped serenity practicing mindfulness lake,envelop seren practic mind lake,envelop serenity practice mindfulness lake
Chasing dreams like a kite soaring high in the vast open sky.      , DreamChaser   ,chasing dreams like kite soaring high vast open sky,chase dream like kite soar high vast open sky,chase dream like kite soar high vast open sky
Spellbound by the elegance of a ballroom dance under crystal chandeliers. , Elegance ,spellbound elegance ballroom dance crystal chandeliers,spellbound eleg ballroom danc crystal chandeli,spellbound elegance ballroom dance crystal chandelier
Whimsical delight in a world of fairy tales and magical creatures.  , Whimsy        ,whimsical delight world fairy tales magical creatures,whimsic delight world fairi tale magic creatur,whimsical delight world fairy tale magical creature
Pensive contemplation amid the ancient ruins of a forgotten civilization. , Pensive ,pensive contemplation amid ancient ruins forgotten civilization,pensiv contempl amid ancient ruin forgotten civil,pensive contemplation amid ancient ruin forget civilization
Embracing the thrill of speed on a rollercoaster's exhilarating twists. , Thrill      ,embracing thrill speed rollercoaster exhilarating twists,embrac thrill speed rollercoast exhilar twist,embrace thrill speed rollercoaster exhilarate twist
Harmony resonates as musicians play a melody of unity and togetherness. , Harmony    ,harmony resonates musicians play melody unity togetherness,harmoni reson musician play melodi uniti togeth,harmony resonates musician play melody unity togetherness
A burst of creativity in the quiet solitude of an artist's studio.  , Creativity   ,burst creativity quiet solitude artist studio,burst creativ quiet solitud artist studio,burst creativity quiet solitude artist studio
Radiant joy akin to blooming flowers on a sun-kissed spring morning. , Radiance    ,radiant joy akin blooming flowers sun kissed spring morning,radiant joy akin bloom flower sun kiss spring morn,radiant joy akin blooming flower sun kiss spring morning
A sense of wonder at the vastness of the cosmos on a stargazing night. , Wonder     ,sense wonder vastness cosmos stargazing night,sens wonder vast cosmos stargaz night,sense wonder vastness cosmos stargaze night
Rejuvenated by the salty breeze and the sound of waves at the seaside. , Rejuvenation ,rejuvenated salty breeze sound waves seaside,rejuven salti breez sound wave seasid,rejuvenate salty breeze sound wave seaside
Whispers of inspiration from the rustling leaves in a serene forest. , Inspiration ,whispers inspiration rustling leaves serene forest,whisper inspir rustl leav seren forest,whisper inspiration rustle leaf serene forest
Savoring the warmth of a cup of cocoa on a chilly winter evening.   , Coziness     ,savoring warmth cup cocoa chilly winter evening,savor warmth cup cocoa chilli winter even,savor warmth cup cocoa chilly winter evening
Heartfelt gratitude for the laughter shared during a family reunion. , Gratitude  ,heartfelt gratitude laughter shared family reunion,heartfelt gratitud laughter share famili reunion,heartfelt gratitude laughter share family reunion
"Embarking on a culinary adventure, savoring exotic flavors around the world. ", Adventure ,embarking culinary adventure savoring exotic flavors around world,embark culinari adventur savor exot flavor around world,embark culinary adventure savor exotic flavor around world
Euphoria floods in as the final puzzle piece clicks into place.       , Euphoria   ,euphoria floods final puzzle piece clicks place,euphoria flood final puzzl piec click place,euphoria flood final puzzle piece click place
